Change Component Footprint: Designator=J3 Old Footprint=Terminal_Block_3Pin_2.54P New Footprint=3Pin_TerminalBlock_5.08P
Change Component Footprint: Designator=J2 Old Footprint=Terminal_Block_4Pin_2.54P New Footprint=4Pin_TerminalBlock_5.08P
Change Component Comment : Designator=J3 Old Comment=Terminal_Block_3Pin_2.54P New Comment=Terminal_Block_3Pin_5.08P
Change Component Comment : Designator=J2 Old Comment=Terminal_Block_4Pin_2.54P New Comment=Terminal_Block_4Pin_5.08P
Change component parameters: Designator = "J2" ("J2"); Footprint = "Terminal_Block_4Pin_2.54P"; UniqueID = "\SQDBTPBC\IVICXVQI" ("\SQDBTPBC\IVICXVQI")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "6PIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "J3" ("J3"); Footprint = "Terminal_Block_3Pin_2.54P"; UniqueID = "\SQDBTPBC\LKRXKEIB" ("\SQDBTPBC\LKRXKEIB")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "6PIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
