Change Component Designator: OldDesignator=M2 NewDesignator=M1
Added Pin To Net: NetName=GND Pin=M1-1
Added Pin To Net: NetName=3V3 Pin=M1-2
Added Pin To Net: NetName=EN Pin=M1-3
Added Pin To Net: NetName=SPI_SS Pin=M1-10
Added Pin To Net: NetName=IR_OUT Pin=M1-12
Added Pin To Net: NetName=SCL Pin=M1-13
Added Pin To Net: NetName=GND Pin=M1-15
Added Pin To Net: NetName=SDA Pin=M1-16
Added Pin To Net: NetName=IO0 Pin=M1-25
Added Pin To Net: NetName=SPI_SCLK Pin=M1-30
Added Pin To Net: NetName=SPI_MISO Pin=M1-31
Added Pin To Net: NetName=ENC_A_OUT Pin=M1-33
Added Pin To Net: NetName=TXD0 Pin=M1-34
Added Pin To Net: NetName=RXD0 Pin=M1-35
Added Pin To Net: NetName=ENC_B_OUT Pin=M1-36
Added Pin To Net: NetName=SPI_MOSI Pin=M1-37
Added Pin To Net: NetName=GND Pin=M1-38
Added Pin To Net: NetName=GND Pin=M1-39
Added Pin To Net: NetName=GND Pin=M1-40
Added Pin To Net: NetName=GND Pin=M1-41
Added Pin To Net: NetName=GND Pin=M1-42
Added Pin To Net: NetName=GND Pin=M1-43
Added Pin To Net: NetName=GND Pin=M1-44
Added Pin To Net: NetName=GND Pin=M1-45
Added Pin To Net: NetName=GND Pin=M1-46
Added Pin To Net: NetName=GND Pin=M1-47
